name,profile,p[1]_q25,p[1]_q50,p[1]_q75,p[2]_q25,p[2]_q50,p[2]_q75,p[3]_q25,p[3]_q50,p[3]_q75,p[4]_q25,p[4]_q50,p[4]_q75,p[5]_q25,p[5]_q50,p[5]_q75,p[6]_q25,p[6]_q50,p[6]_q75,p[7]_q25,p[7]_q50,p[7]_q75,p[8]_q25,p[8]_q50,p[8]_q75,p[9]_q25,p[9]_q50,p[9]_q75,p[10]_q25,p[10]_q50,p[10]_q75,RE_q25,RE_q50,RE_q75
SDSS1004+4112,SIE,6.128221,6.130028,6.131113,1.142925,1.144348,1.14538025,-1.079284,-1.077646,-1.076269,0.5673267,0.5676549,0.5679714,36.67612,36.68735,36.6986825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.877108,6.878559,6.879503
SDSS1011+0143,SIS,1.83950775,1.840535,1.841607,0.0208503525,0.02190537,0.02297754,0.07043019,0.07157279,0.0727599925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.83940775,1.840435,1.841507
SDSS1226-0006,SIE,0.591790375,0.5996559,0.6072167,-0.002219793,-8.456533e-05,0.00209083825,-0.001773894,0.0001540947,0.002189298,0.1797298,0.2206028,0.2566025,-11.047195,-9.314335,-8.021952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6013968,0.60628855,0.611806175
SDSS1332+0347,SIS,0.5685181,0.5700657,0.5715336,-0.00380334,-0.0019626404999999,-5.807091e-05,0.002073116,0.003594382,0.00503173325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5684181,0.5699657,0.5714336
SDSSJ0114+0722,SIE,0.7696573,0.78599545,0.8025085249999999,-0.002548268,-0.00052036275,0.001555946,-0.002138812,9.6834385e-05,0.002116948,0.3597233749999999,0.3945838,0.4283318,-48.9202675,-46.34014,-44.37348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.81328805,0.822441,0.8315903
SDSSJ0248+1913,POW+shear,0.708305,0.7112622,0.7154648,-0.0128413,-0.01224795,-0.01124166,0.008583564,0.01004964,0.0116758825,0.4217381,0.4342537,0.444224825,-11.443165,-10.2755,-9.016242,0.2097831,0.213936,0.22086685,-89.17253,-88.50616,-87.41651250000001,0.0,0.0,0.0,0.0,0.0,0.0,1.061897,1.098054,1.132589,0.750169,0.7516512,0.7531918
SDSSJ0256+0153,SIE,0.6984412,0.7338792,0.77251985,-0.002175985,-0.0001612369,0.00165255175,-0.0021809045,-0.00028720885,0.00175427,0.7054423,0.7300274,0.7553967,-45.470925,-42.8333,-40.73305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.914157025,0.9339224,0.9581368
SDSSJ0737+4825,SIS,1.142511,1.1440085,1.1454055,-0.001811481,0.0002179716,0.0022816075,-0.00217715875,-0.0008835136,0.0004007474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.142411,1.1439085,1.1453055
SDSSJ0743+2457,SIS,0.54470495,0.5461233999999999,0.547722625,-0.008246793,-0.006523393,-0.004872877,0.006017355,0.007558656,0.00919853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.54460485,0.5460232,0.547622425
SDSSJ0746+4403,SIE,0.5478727,0.5509995,0.5539476249999999,-0.002081467,-0.0002718898,0.001856158,-0.00200094325,4.3423615e-05,0.001833282,0.09824788,0.1031001,0.1091769,1.903589,7.178326,13.98665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.549136375,0.5520768,0.5549926
SDSSJ0806+2006,SIS,0.7379519,0.7394448499999999,0.7408564,-0.00763428075,-0.005748337,-0.003819566,0.00940415975,0.010876815,0.0123321175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7378519,0.73934475,0.7407563
SDSSJ0819+5356,SIE,2.0537,2.058882,2.063755,-0.002509657,-0.0003765259,0.0019130002499999,-0.0021080872499999,-0.00019411635,0.0018423205,0.1099608,0.12699925,0.1428429,-60.25684,-59.78564,-59.47909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.058806,2.065794,2.072945
SDSSJ0820+0812,SIE,1.041644,1.046095,1.051146,-0.00216170825,0.0001363333,0.00237325075,-0.001901298,0.0002331157,0.00239883,0.08207551,0.0859568,0.09101596,12.23975,20.52162,28.5179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.043055,1.0474225,1.052656
